Sex,Age,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
2,22,0.005722128,0.005190145,0.004664631,0.004092337,0.003688485,0.00335063,0.003023412,0.002772556,0.002605623,0.002469627,0.002364324,0.002325864
2,23,0.007691811,0.006983218,0.006199021,0.005346375,0.004713184,0.004186733,0.003707118,0.003325376,0.003075571,0.002874744,0.002724408,0.002675727
2,24,0.009874897,0.009042465,0.008000445,0.006819076,0.005906131,0.005149654,0.004469302,0.003923361,0.003575244,0.003292505,0.003084953,0.003029246
2,25,0.012076,0.011206676,0.009955248,0.008448476,0.007226813,0.006211734,0.005302547,0.004556204,0.004094937,0.003720532,0.003444243,0.003378238
2,26,0.014099092,0.013289841,0.011907327,0.010126079,0.008616135,0.007326496,0.006180041,0.005219442,0.004628716,0.004153573,0.003804577,0.003723551
2,27,0.015794809,0.015126035,0.013697763,0.011723354,0.009982029,0.008438406,0.007060276,0.0058913,0.005173063,0.004587509,0.004161867,0.004066178
2,28,0.017082017,0.016604188,0.01520051,0.013124443,0.011225686,0.009471476,0.00789963,0.006538691,0.005707989,0.005017638,0.004510661,0.004397168
2,29,0.017943186,0.017680868,0.016347604,0.014249989,0.012267994,0.010357952,0.008645282,0.007133339,0.006207684,0.005428126,0.004846593,0.004709092
2,30,0.018411507,0.018366578,0.017132827,0.015067877,0.013064893,0.011057993,0.009258269,0.007644982,0.006655765,0.005802598,0.005160228,0.005000306
2,31,0.018558002,0.01870807,0.017591948,0.015589501,0.013610181,0.011563332,0.009721633,0.008054029,0.007033965,0.006133447,0.005442349,0.005265659
2,32,0.018476052,0.018777663,0.017785425,0.015855103,0.013930742,0.011893511,0.01004163,0.008356279,0.007331466,0.006409257,0.005688341,0.005497344
2,33,0.018261654,0.018662307,0.017787965,0.015922552,0.014074209,0.012088237,0.010244333,0.00856495,0.007551865,0.006627281,0.005894606,0.005697143
2,34,0.01799885,0.018447337,0.017676566,0.015860101,0.014098305,0.012193236,0.010366858,0.008706952,0.007714699,0.006801207,0.006071472,0.005876438
2,35,0.017747111,0.018204859,0.017517393,0.015739201,0.014063291,0.012250682,0.010447048,0.008812747,0.007843212,0.006946933,0.00622933,0.00604253
2,36,0.017536054,0.017984086,0.017358491,0.015621266,0.014022502,0.012294097,0.010516835,0.008908903,0.007958799,0.007078447,0.006374969,0.006197729
2,37,0.017370034,0.017806882,0.017225874,0.015546482,0.014012145,0.012346132,0.010598543,0.009016319,0.008081386,0.007212468,0.006520234,0.006350471
2,38,0.017238779,0.017671602,0.01712548,0.015529502,0.014047218,0.012417399,0.01070365,0.00914704,0.008224379,0.007362109,0.006676175,0.006509512
2,39,0.017127006,0.017565116,0.017050153,0.01556309,0.014121867,0.012507297,0.01083302,0.009304721,0.008394486,0.00753648,0.006852789,0.00668506
2,40,0.017022091,0.017473162,0.016987775,0.015625001,0.014214319,0.012607407,0.010979854,0.00948435,0.008589188,0.007735399,0.007051537,0.006879323
2,41,0.016914902,0.017385806,0.016926523,0.015687373,0.014296434,0.012707469,0.011134965,0.009676466,0.008800057,0.007952318,0.007267466,0.007088283
2,42,0.016799755,0.017297616,0.016859524,0.015727746,0.014344855,0.012799203,0.011291513,0.009873545,0.009019771,0.008181781,0.007497444,0.007310411
2,43,0.016676748,0.017207086,0.016784529,0.015737849,0.014349269,0.01287833,0.011446474,0.010072439,0.009244144,0.008419878,0.007739097,0.007544535
2,44,0.016549081,0.017114722,0.016702858,0.015722264,0.014318317,0.012947625,0.011601112,0.010274822,0.009474066,0.008666351,0.007992065,0.007790572
2,45,0.016419099,0.017018121,0.016620652,0.015693885,0.01427717,0.013018931,0.011761083,0.0104864,0.009715319,0.008926262,0.008260396,0.00805196
2,46,0.016289337,0.016911522,0.016545798,0.015670711,0.01425755,0.013107791,0.011935036,0.010714746,0.009975663,0.009207725,0.008551929,0.00833581
2,47,0.016165432,0.016792211,0.0164845,0.015669123,0.014286883,0.013226991,0.012131146,0.010967531,0.010261933,0.009517829,0.008874272,0.008649881
2,48,0.016055416,0.016664446,0.016441626,0.015697164,0.014378349,0.013384037,0.012354441,0.011249901,0.010579127,0.009861344,0.009232782,0.009000798
2,49,0.015964461,0.01653545,0.016418599,0.015751246,0.014525223,0.013578018,0.012603553,0.011559108,0.010924298,0.010234863,0.009623585,0.009385177
2,50,0.015890722,0.016411988,0.016411054,0.01581685,0.014704233,0.013798855,0.012868093,0.011884112,0.011285377,0.010625979,0.010033991,0.009790176
